Method,LOC,V,v(G),MI
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.getNodeModel(),17,24,1,63.36027129
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.getPropertyInternal(String),37,192,6,48.99658122
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.getRootElementName(),17,28,1,62.89150899
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.getRootElementNameInternal(),13,22,1,66.16631559
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.isEmptyInternal(),11,24,1,67.48433723
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.nodeDefined(T),12,41,1,65.03154241
"org.apache.commons.configuration2.AbstractHierarchicalConfiguration.nodeKey(T,Map<T, String>,NodeHandler<T>)",26,187,4,52.68834578
"org.apache.commons.configuration2.AbstractHierarchicalConfiguration.resolveAddKey(T,String,NodeHandler<T>)",9,19,1,70.09583576
"org.apache.commons.configuration2.AbstractHierarchicalConfiguration.resolveKey(T,String,NodeHandler<T>)",9,19,1,70.09583576
"org.apache.commons.configuration2.AbstractHierarchicalConfiguration.resolveNodeKey(T,String,NodeHandler<T>)",18,72,3,59.20895538
"org.apache.commons.configuration2.AbstractHierarchicalConfiguration.resolveUpdateKey(T,String,Object,NodeHandler<T>)",41,239,7,47.2236971
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.setExpressionEngine(ExpressionEngine),14,11,1,67.57205605
"org.apache.commons.configuration2.AbstractHierarchicalConfiguration.setPropertyInternal(String,Object)",11,19,1,68.19474496
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.sizeInternal(),11,15,1,68.91358803
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.toString(),5,19,1,75.66434101
"org.apache.commons.configuration2.AbstractHierarchicalConfiguration.valueFromResult(QueryResult<T>,NodeHandler<T>)",12,33,2,65.55711869
org.apache.commons.configuration2.AbstractHierarchicalConfiguration.visitDefinedKeys(),13,39,1,64.42532155
org.apache.commons.configuration2.AbstractYAMLBasedConfiguration.AbstractYAMLBasedConfiguration(),7,8,1,75.10711086
org.apache.commons.configuration2.AbstractYAMLBasedConfiguration.AbstractYAMLBasedConfiguration(HierarchicalConfiguration<ImmutableNode>),12,19,1,67.37042666
"org.apache.commons.configuration2.AbstractYAMLBasedConfiguration.addEntry(Map<String, Object>,String,Object)",32,145,3,51.62927656
"org.apache.commons.configuration2.AbstractYAMLBasedConfiguration.constructHierarchy(String,Object)",27,101,3,54.33848894
org.apache.commons.configuration2.AbstractYAMLBasedConfiguration.constructMap(ImmutableNode),18,85,3,58.70420526
"org.apache.commons.configuration2.AbstractYAMLBasedConfiguration.load(Map<String, Object>)",12,33,1,65.69162161
"org.apache.commons.configuration2.AbstractYAMLBasedConfiguration.parseCollection(Collection<Object>,String)",17,50,2,60.99381532
"org.apache.commons.configuration2.AbstractYAMLBasedConfiguration.parseMap(Map<String, Object>,String)",22,93,3,56.52958766
org.apache.commons.configuration2.AbstractYAMLBasedConfiguration.rethrowException(Exception),18,51,2,60.39209604
"org.apache.commons.configuration2.BaseConfiguration.addPropertyDirect(String,Object)",32,137,3,51.80185822
org.apache.commons.configuration2.BaseConfiguration.clearInternal(),5,8,1,78.29474257
org.apache.commons.configuration2.BaseConfiguration.clearPropertyDirect(String),10,11,1,70.75968776
org.apache.commons.configuration2.BaseConfiguration.clone(),24,55,2,57.43707332
org.apache.commons.configuration2.BaseConfiguration.cloneStore(BaseConfiguration),25,110,3,54.80801973
org.apache.commons.configuration2.BaseConfiguration.containsKeyInternal(String),13,15,1,67.33097039
org.apache.commons.configuration2.BaseConfiguration.getKeysInternal(),11,11,1,69.85674922
org.apache.commons.configuration2.BaseConfiguration.getPropertyInternal(String),12,11,1,69.03243091
org.apache.commons.configuration2.BaseConfiguration.isEmptyInternal(),11,11,1,69.85674922
org.apache.commons.configuration2.BaseConfiguration.sizeInternal(),9,11,1,71.75784002
org.apache.commons.configuration2.BaseConfigurationXMLReader.BaseConfigurationXMLReader(),7,4,1,77.21492685
org.apache.commons.configuration2.BaseConfigurationXMLReader.BaseConfigurationXMLReader(Configuration),11,11,1,69.85674922
org.apache.commons.configuration2.BaseConfigurationXMLReader.SAXConverter.elementEnd(String),10,8,1,71.72808507
"org.apache.commons.configuration2.BaseConfigurationXMLReader.SAXConverter.elementStart(String,Object)",15,39,2,62.93512642
