Metric#5,,
,,
Class,LOC,V
org.apache.commons.configuration2.builder.TestCopyObjectDefaultHandler,80,459
org.apache.commons.configuration2.builder.TestDatabaseBuilderParametersImpl,105,877
org.apache.commons.configuration2.builder.TestDefaultParametersManager,200,"1,648"
org.apache.commons.configuration2.builder.TestDefaultParametersManager.FileBasedDefaultsHandler,16,53
org.apache.commons.configuration2.builder.TestDefaultReloadingDetectorFactory,47,253
org.apache.commons.configuration2.builder.TestEventListenerParameters,62,451
org.apache.commons.configuration2.builder.TestFileBasedBuilderParameters,369,"4,015"
org.apache.commons.configuration2.builder.TestFileBasedConfigurationBuilder,490,"4,755"
org.apache.commons.configuration2.builder.TestHierarchicalBuilderParametersImpl,62,450
org.apache.commons.configuration2.builder.TestJndiBuilderParametersImpl,64,495
org.apache.commons.configuration2.builder.TestPropertiesBuilderParametersImpl,108,972
org.apache.commons.configuration2.builder.TestReloadingBuilderSupportListener,55,369
org.apache.commons.configuration2.builder.TestReloadingFileBasedConfigurationBuilder,184,"1,786"
org.apache.commons.configuration2.builder.TestReloadingFileBasedConfigurationBuilder.ReloadingFileBasedConfigurationBuilderTestImpl,45,91
org.apache.commons.configuration2.builder.TestXMLBuilderParametersImpl,128,"1,380"
org.apache.commons.configuration2.builder.XMLBuilderParametersImpl,87,461
org.apache.commons.configuration2.builder.combined.AbstractMultiFileConfigurationBuilderTest,77,351
org.apache.commons.configuration2.builder.combined.BaseConfigurationBuilderProvider,345,"1,453"
org.apache.commons.configuration2.builder.combined.CombinedBuilderParametersImpl,402,"1,569"
org.apache.commons.configuration2.builder.combined.CombinedConfigurationBuilder,"1,222","10,699"
org.apache.commons.configuration2.builder.combined.CombinedConfigurationBuilder.ConfigurationSourceData,260,"1,605"
org.apache.commons.configuration2.builder.combined.CombinedConfigurationBuilderProvider,98,483
org.apache.commons.configuration2.builder.combined.ConfigurationDeclaration,161,632
org.apache.commons.configuration2.builder.combined.FileExtensionConfigurationBuilderProvider,143,592
org.apache.commons.configuration2.builder.combined.MultiFileBuilderParametersImpl,137,392
org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilder,487,"2,521"
org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilderProvider,108,794
org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilderProvider.ReloadableWrapperBuilder,30,79
org.apache.commons.configuration2.builder.combined.MultiFileConfigurationBuilderProvider.WrapperBuilder,42,181
org.apache.commons.configuration2.builder.combined.MultiWrapDynaBean,143,836
org.apache.commons.configuration2.builder.combined.MultiWrapDynaClass,75,297
org.apache.commons.configuration2.builder.combined.ReloadingCombinedConfigurationBuilder,167,541
org.apache.commons.configuration2.builder.combined.ReloadingMultiFileConfigurationBuilder,129,327
org.apache.commons.configuration2.builder.combined.TestBaseConfigurationBuilderProvider,243,"1,610"
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl,424,"4,026"
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder,"1,238","18,117"
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.BuilderProviderTestImpl,27,112
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.CombinedConfigurationTestImpl,8,8
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.ConstantConfigurationBuilder,19,60
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.EntityResolverWithPropertiesTestImpl,44,178
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.FileSystemTestImpl,7,8
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.ReadThread,46,190
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder.TestLookup,20,108
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilderVFS,41,285
org.apache.commons.configuration2.builder.combined.TestConfigurationDeclaration,121,"1,310"
org.apache.commons.configuration2.builder.combined.TestFileExtensionConfigurationBuilderProvider,197,"1,128"
org.apache.commons.configuration2.builder.combined.TestMultiFileBuilderParametersImpl,114,859
org.apache.commons.configuration2.builder.combined.TestMultiFileConfigurationBuilder,389,"4,047"
org.apache.commons.configuration2.builder.combined.TestMultiWrapDynaBean,186,"1,992"
org.apache.commons.configuration2.builder.combined.TestMultiWrapDynaBean.WrappedBeanTestImpl,37,224
org.apache.commons.configuration2.builder.combined.TestReloadingCombinedConfigurationBuilder,114,853
