Complexity metrics,Sun, 16 Jun 2019 17:13:20 EDT
Method,ev(G),iv(G),v(G)
"org.apache.commons.collections4.CollectionUtils.get(Object,int)",8,8,9
"org.apache.commons.collections4.CollectionUtils.getCardinalityMap(Iterable<? extends O>)",1,3,3
"org.apache.commons.collections4.CollectionUtils.intersection(Iterable<? extends O>,Iterable<? extends O>)",1,2,2
"org.apache.commons.collections4.CollectionUtils.isEmpty(Collection<?>)",1,2,2
"org.apache.commons.collections4.CollectionUtils.isEqualCollection(Collection<? extends E>,Collection<? extends E>,Equator<? super E>)",3,1,3
"org.apache.commons.collections4.CollectionUtils.isEqualCollection(Collection<?>,Collection<?>)",5,2,5
"org.apache.commons.collections4.CollectionUtils.isFull(Collection<? extends Object>)",3,2,4
"org.apache.commons.collections4.CollectionUtils.isNotEmpty(Collection<?>)",1,1,1
"org.apache.commons.collections4.CollectionUtils.isProperSubCollection(Collection<?>,Collection<?>)",1,2,2
"org.apache.commons.collections4.CollectionUtils.isSubCollection(Collection<?>,Collection<?>)",3,2,3
"org.apache.commons.collections4.CollectionUtils.matchesAll(Iterable<C>,Predicate<? super C>)",1,2,2
"org.apache.commons.collections4.CollectionUtils.maxSize(Collection<? extends Object>)",3,2,4
"org.apache.commons.collections4.CollectionUtils.permutations(Collection<E>)",1,2,2
"org.apache.commons.collections4.CollectionUtils.predicatedCollection(Collection<C>,Predicate<? super C>)",1,1,1
"org.apache.commons.collections4.CollectionUtils.removeAll(Collection<E>,Collection<?>)",1,1,1
"org.apache.commons.collections4.CollectionUtils.removeAll(Iterable<E>,Iterable<? extends E>,Equator<? super E>)",1,3,3
"org.apache.commons.collections4.CollectionUtils.retainAll(Collection<C>,Collection<?>)",1,1,1
"org.apache.commons.collections4.CollectionUtils.retainAll(Iterable<E>,Iterable<? extends E>,Equator<? super E>)",1,3,3
"org.apache.commons.collections4.CollectionUtils.reverseArray(Object[])",1,1,2
"org.apache.commons.collections4.CollectionUtils.select(Iterable<? extends O>,Predicate<? super O>)",1,2,2
"org.apache.commons.collections4.CollectionUtils.select(Iterable<? extends O>,Predicate<? super O>,R)",1,4,5
"org.apache.commons.collections4.CollectionUtils.select(Iterable<? extends O>,Predicate<? super O>,R,R)",1,4,5
"org.apache.commons.collections4.CollectionUtils.selectRejected(Iterable<? extends O>,Predicate<? super O>)",1,2,2
